Age,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020
0,28.37,27.49984246,26.57990755,25.76927047,24.89052379,24.03581217,23.29518299,22.46729072,21.63835284,16.13938612,15.69440184,15.02295215,14.39949136,13.82416512,13.29710957,12.80791676,12.35826059,11.93761695,11.55584009
1,2.758251598,2.642923893,2.566982552,2.422424102,2.292050333,2.18245713,2.291215774,2.151677588,2.025921002,1.046677797,0.983015356,0.937037297,0.930110649,0.901552019,0.877862263,0.848353623,0.841265948,0.796174041,0.7890832
2,1.496465246,1.439328201,1.381583335,1.327337022,1.254954282,1.198061876,1.187885235,1.132416346,1.074965485,0.665070643,0.629077559,0.609674415,0.598935338,0.578406727,0.568768513,0.548293421,0.537588303,0.518086743,0.507371543
3,1.100144955,1.058476344,1.038795508,0.989098558,0.921733707,0.880192565,0.778368894,0.750043374,0.716243135,0.501358244,0.476626383,0.46693815,0.455707123,0.439078163,0.434525463,0.418306474,0.407134956,0.397085601,0.385919668
4,0.84471629,0.87186058,0.754313871,0.739477388,0.69939758,0.658643505,0.567656924,0.551681342,0.529377059,0.408207953,0.389640832,0.38482453,0.373765202,0.359576237,0.357527838,0.343878976,0.33287852,0.327614114,0.31662435
5,0.59825903,0.559193988,0.504067749,0.496540168,0.479327975,0.468624043,0.441647244,0.432223507,0.416474751,0.34822699,0.333543409,0.331526043,0.320814858,0.308362496,0.307700494,0.295793953,0.285130499,0.282664137,0.272010592
6,0.431832536,0.436750079,0.415485183,0.408475429,0.385499832,0.372131349,0.360110201,0.35439935,0.342737178,0.307424725,0.295394827,0.295064537,0.284739019,0.27364303,0.273745455,0.263093306,0.252796645,0.252094943,0.241804526
7,0.34916446,0.363443916,0.346140599,0.340955428,0.31393789,0.300602044,0.305742913,0.302080331,0.293080903,0.27968683,0.26956426,0.270194268,0.260240303,0.250302755,0.250729663,0.241000875,0.231049695,0.231494429,0.221544497
8,0.321933892,0.326940525,0.309432928,0.30463879,0.281258331,0.268812798,0.270577111,0.267761087,0.260485565,0.262439509,0.253730529,0.254723725,0.245099471,0.236258682,0.236604408,0.227540019,0.217885946,0.219056354,0.209398103
9,0.311530906,0.31668505,0.296593399,0.291764723,0.273112097,0.260614524,0.251446369,0.248353543,0.24207332,0.255214443,0.247569142,0.248295213,0.238932513,0.23126313,0.231050854,0.222412449,0.212983066,0.214547252,0.205108576
10,0.306145542,0.317038193,0.298925239,0.293819855,0.275207207,0.262362743,0.248437382,0.243716606,0.237736927,0.259257106,0.252413253,0.252053668,0.24284628,0.2365949,0.235164719,0.226691581,0.217382294,0.219028653,0.20970622
11,0.334255359,0.332818644,0.306665988,0.301931786,0.283473071,0.270167802,0.264657463,0.256377323,0.24987875,0.272564803,0.266321704,0.263675204,0.259550419,0.255211788,0.251569199,0.242930553,0.233586406,0.234965941,0.225607623
12,0.401013665,0.369612405,0.348751114,0.342393659,0.314237467,0.306526822,0.306856673,0.29200065,0.283846534,0.310861625,0.305057417,0.298235039,0.293821755,0.29227205,0.284860368,0.275590986,0.26597543,0.266638017,0.257012885
13,0.499283982,0.480344786,0.452982815,0.444496238,0.429930374,0.415831344,0.386896412,0.350269465,0.338738909,0.372909427,0.367436122,0.35341844,0.353358657,0.356075837,0.342421305,0.33182623,0.321570391,0.320880322,0.310630109
14,0.657511073,0.622874628,0.589287882,0.572902307,0.557386607,0.538322738,0.524326338,0.488779076,0.471070783,0.513673367,0.508462,0.482330142,0.450159172,0.459579813,0.435731364,0.422739348,0.41126091,0.408274241,0.396835998
15,0.820349572,0.851792552,0.820698531,0.799678553,0.780700502,0.7650557,0.743404755,0.718515435,0.701131587,0.815284587,0.802517216,0.779988701,0.75817792,0.748210143,0.724408129,0.710414497,0.695017314,0.683190777,0.667925347
16,1.087625478,1.050053547,1.00257684,0.983007033,0.962806514,0.936043976,0.916970458,0.890778624,0.86990585,1.014182734,0.998449882,0.971182396,0.944308696,0.929210028,0.900254609,0.884350438,0.86646601,0.849580037,0.831989651
17,1.275654507,1.228084788,1.181332907,1.153062278,1.132845254,1.102068193,1.079758573,1.051224347,1.026569556,1.190449021,1.172531941,1.141409467,1.110281279,1.09003835,1.057769546,1.038925203,1.018690296,0.997552446,0.977563035
18,1.435322043,1.385899262,1.333604725,1.312365997,1.278436518,1.244064373,1.220256242,1.187915674,1.159261493,1.327893551,1.309005041,1.275336162,1.241268089,1.216199815,1.183218507,1.160152868,1.137873965,1.113794423,1.091417089